S/N,Date,Type of Waste,# of Trips,UoM,W. Entrance,W. Exit,W. Net,,,,,
1,14-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
2,14-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
3,14-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
4,14-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
5,14-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
6,14-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
7,14-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
8,15-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
9,15-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
10,15-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
11,15-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
12,15-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
13,15-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
14,15-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
15,16-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
16,16-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
17,16-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
18,16-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
19,16-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
20,16-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
21,16-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
22,16-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
23,16-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
24,16-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
25,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
26,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
27,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
28,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
29,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
30,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
31,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
32,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
33,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
34,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
35,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
36,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
37,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
38,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
39,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
40,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
41,19-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
42,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
43,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
44,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
45,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
46,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
47,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
48,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
49,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
50,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
51,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
52,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
53,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
54,20-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
55,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
56,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
57,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
58,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
59,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
60,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
61,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
62,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
63,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
64,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
65,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
66,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
67,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
68,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
69,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
70,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
71,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
72,21-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
73,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
74,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
75,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
76,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
77,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
78,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
79,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
80,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
81,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
82,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
83,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
84,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
85,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
86,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
87,22-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
88,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
89,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
90,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
91,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
92,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
93,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
94,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
95,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
96,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
97,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
98,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
99,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
100,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
101,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
102,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
103,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
104,23-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
105,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
106,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
107,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
108,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
109,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
110,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
87,24-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
88,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
89,24-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
90,24-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
91,24-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
92,24-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
93,24-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
94,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
95,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
96,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
97,24-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
98,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
99,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
100,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
101,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
102,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
103,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
104,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
105,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
106,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
107,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
108,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
109,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
110,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
111,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
112,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
113,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
114,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
115,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
116,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
117,25-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
118,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
119,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
120,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
121,25-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
122,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
123,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
124,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
125,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
126,26-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
127,26-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
128,26-Oct-2024,Oversize,1,Ton,N/A,N/A,26.00,,,,,
129,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
130,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
131,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
132,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
133,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
134,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
135,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
136,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
137,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
138,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
139,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
140,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
141,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
142,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
143,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
144,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
145,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
146,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
147,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
148,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
149,26-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
150,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
151,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
152,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
153,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
154,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
155,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
156,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
157,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
158,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
159,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
160,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
161,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
162,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
163,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
164,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
165,27-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
166,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
167,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
168,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
169,28-Oct-2024,Sub-base,1,Ton,N/A,N/A,28.00,,,,,
170,28-Oct-2024,Sub-base,1,Ton,N/A,N/A,28.00,,,,,
171,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
172,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
173,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
174,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
175,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
176,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
177,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
178,28-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
179,28-Oct-2024,Sub-base,1,Ton,N/A,N/A,28.00,,,,,
180,28-Oct-2024,Sub-base,1,Ton,N/A,N/A,28.00,,,,,
181,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
182,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
183,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
184,29-Oct-2024,Sub-base,1,Ton,N/A,N/A,28.00,,,,,
185,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
186,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
187,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
188,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
189,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
190,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
191,29-Oct-2024,Sub-base,1,Ton,N/A,N/A,28.00,,,,,
192,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
193,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
194,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
195,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
196,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
197,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
198,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
199,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
200,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
201,29-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
202,29-Oct-2024,Sub-base,1,Ton,N/A,N/A,28.00,,,,,
203,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
204,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
205,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
206,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
207,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
208,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
209,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
210,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
211,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
212,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
213,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
214,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
215,30-Oct-2024,Sand,1,Load,N/A,N/A,0.00,,,,,
