Type,Description,Location,Unit,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,Total ,
Equipment,Front-loader,Al-asela LD,No,4,4,4,,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,,52,
Equipment,Bulldozer,Al-asela LD,No,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,13,
Equipment,Dumper,Al-asela LD,No,4,4,4,,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,,52,
Equipment,Excavator,Al-asela LD,No,2,2,2,,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,26,
Equipment,Mobile Screen ,Al-asela LD,No,1,1,1,,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,13,
Equipment,Static Crusher ,Al-asela LD,No,2,2,2,,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,26,
Equipment,Grader,Al-asela LD,No,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,0,
Equipment,Dyna,Al-asela LD,No,2,2,2,,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,,26,
Equipment,Winch,Al-asela LD,No,0,0,0,,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,0,
TOTAL,,,,16,16,16,0,16,16,16,16,16,16,0,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,208,
